Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimised_parameters
refugia_adj_1	Round_3_Replicate_14	-10686.4	21390.8	44599.23	889.75	0.5498,0.2179,0.2707,0.4191,1.3118,0.3323,1.4984,1.115,28.0679
refugia_adj_1	Round_3_Replicate_15	-8945.38	17908.76	22645.52	637.94	0.82,0.0707,0.781,0.4692,2.32,0.5625,3.6214,0.8746,28.0679
refugia_adj_2	Round_1_Replicate_1	-17976.17	35968.34	39726784.53	617.73	0.3175,0.7819,7.7264,0.8351,8.3095,1.8568,2.8862,1.2994
refugia_adj_2	Round_1_Replicate_2	-26887.3	53790.6	-4.32038198496e+13	435.39	3.2656,4.6725,2.1149,2.0795,0.7622,3.4855,0.4038,0.681
refugia_adj_2	Round_1_Replicate_3	-21935.63	43887.26	361128969.16	374.2	2.0697,5.5735,3.2669,0.3048,0.1716,4.106,2.5374,8.2345
refugia_adj_2	Round_1_Replicate_4	-19196.24	38408.48	422140825.0	839.04	0.7076,0.9454,0.7314,6.406,6.3991,1.6448,0.6527,0.1488
refugia_adj_2	Round_1_Replicate_5	-11828.58	23673.16	330490.36	398.29	7.983,1.1566,0.5178,1.0037,4.5445,0.453,4.1111,3.8447
refugia_adj_2	Round_1_Replicate_6	-15337.99	30691.98	134140.26	615.68	2.219,1.532,0.2646,0.3836,0.3865,2.3821,0.8776,3.6184
refugia_adj_2	Round_1_Replicate_7	-31791.56	63599.12	-1.5238899051e+13	357.23	0.6553,0.9501,5.5332,3.0956,0.7325,3.8477,1.1293,1.694
refugia_adj_2	Round_1_Replicate_8	-15536.84	31089.68	250240.13	493.54	1.6374,0.5551,5.5972,0.2588,0.2606,0.5266,0.25,1.2132
refugia_adj_2	Round_1_Replicate_9	-23262.52	46541.04	6601393006.46	317.72	1.0923,3.8803,3.6481,1.968,5.6281,1.774,1.5883,4.8872
refugia_adj_2	Round_1_Replicate_10	-25352.32	50720.64	505804462.76	500.04	1.3612,8.1024,0.2173,6.2095,0.1879,3.6529,1.2868,0.4455
refugia_adj_2	Round_2_Replicate_1	-11302.85	22621.7	32896.13	630.21	2.5821,2.3805,0.187,0.544,1.1976,0.6514,1.5095,4.5081
refugia_adj_2	Round_2_Replicate_2	-12359.56	24735.12	142172.18	351.53	23.2139,4.6757,0.3343,2.1315,4.3487,0.1838,1.9284,5.0752
refugia_adj_2	Round_2_Replicate_3	-13429.44	26874.88	2843919.93	346.17	5.5006,2.3908,0.3616,2.2991,10.3784,0.22,10.1178,13.4135
refugia_adj_2	Round_2_Replicate_4	-14358.23	28732.46	225572.14	689.36	11.9905,0.284,0.234,0.6797,5.966,1.4546,1.3281,1.3877
refugia_adj_2	Round_2_Replicate_5	-13024.61	26065.22	50688.58	317.87	27.8703,0.3909,0.2112,0.6433,2.1215,0.307,8.4652,2.1814
refugia_adj_2	Round_2_Replicate_6	-18220.36	36456.72	159863767.85	297.08	21.1583,0.3579,2.0839,0.5185,2.8426,0.134,1.8439,0.9649
